key,de-DE,R,en-US,R,da-DK,R,fi-FI,R,sv-SE,R,fr-FR,R,it-IT,R,es-ES,R
custom.data.type.iucn.editor.menu.delete-button|text,Löschen,FALSE,Delete,FALSE,Delete,TRUE,Poista,FALSE,Radera,FALSE,Supprimer,FALSE,,FALSE,,FALSE
custom.data.type.iucn.editor.search-button.tooltip,Suche,FALSE,Search,FALSE,Search,TRUE,Hae,FALSE,Sök,FALSE,Recherche,FALSE,,FALSE,,FALSE
custom.data.type.iucn.editor.search-input.placeholder,Suche nach Artnamen (lat. binomiale Nomenklatur) oder ID,FALSE,Search by species name (lat. binomial nomenclature) or ID,FALSE,Search by species name (lat. binomial nomenclature) or ID,TRUE,Hae lajin nimellä (lat. binomininen nimistö) tai tunnisteella,TRUE,Sök på artnamn (lat. binomial nomenklatur) eller ID,TRUE,Recherche par nom d'espèce (nomenclature binomiale latine) ou par identifiant,TRUE,,TRUE,,TRUE
custom.data.type.iucn.editor.search.token-invalid,IUCN-Token nicht gültig.,FALSE,IUCN token not valid.,FALSE,IUCN token not valid.,TRUE,IUCN-tunnus ei kelpaa.,FALSE,IUCN-token är inte giltig.,FALSE,Token IUCN non valide.,FALSE,,FALSE,,FALSE
custom.data.type.iucn.name,IUCN,FALSE,IUCN,FALSE,IUCN,TRUE,IUCN,FALSE,IUCN,FALSE,IUCN,FALSE,,FALSE,,FALSE
custom.data.type.iucn.output.empty-data,Kein Datensatz,FALSE,No data set,FALSE,No data set,TRUE,Ei tietoja,FALSE,Inga poster,FALSE,Aucun ensemble de données,FALSE,,FALSE,,FALSE
custom.data.type.iucn.output.no-status.text,Keine Informationen über den Status,FALSE,No information about status,FALSE,No information about status,TRUE,Tilasta ei ole tietoa,FALSE,Ingen information om status,FALSE,Aucune information sur le statut,FALSE,,FALSE,,FALSE
custom.data.type.iucn.output.status.red-list.text,Ist auf der Roten Liste,FALSE,It is in the red list,FALSE,It is in the red list,TRUE,Se on punaisella listalla,FALSE,Är på röda listan,FALSE,C'est dans la liste rouge,FALSE,,FALSE,,FALSE
custom.data.type.iucn.output.status.not-on-red-list.text,Ist nicht auf der Roten Liste,FALSE,It is not in the red list,FALSE,It is not in the red list,TRUE,Ei ole punaisella listalla,TRUE,Är inte på röda listan,TRUE,Il ne figure pas dans la liste rouge,TRUE,,TRUE,,TRUE
server.config.group.system.iucn.introduction,IUCN Konfiguration,FALSE,IUCN configuration,FALSE,IUCN configuration,TRUE,IUCN asetukset,FALSE,IUCN inställningar,FALSE,Configuration de l'IUCN,FALSE,,FALSE,,FALSE
server.config.group.system.iucn.title,IUCN,FALSE,IUCN,FALSE,IUCN,TRUE,IUCN,FALSE,IUCN,FALSE,IUCN,FALSE,,FALSE,,FALSE
